embedding,gender_effect,race_effect
GloVe,0.10854329178719851,0.011949612696294385
GN-Glove,0.09157875331122622,8.396652947127129e-05
Glove-hard-debiased,0.020788095688693334,0.006853608692050696
Glove-INLP,0.07390988467132843,0.0009047401516545575
Conceptnet,0.004947384583741111,0.0025014618455200042
